Place_Id,Rating,Price,vote_average,vote_count,htm_weekday,htm_weekend,popularity_score,category_id
85.0,0.5,6000,4.5,4846.0,20000.0,20000.0,21807.0,1
86.0,0.5999999999999996,15000,0.0,0.0,0.0,0.0,0.0,2
87.0,0.20000000000000018,20000,4.2,14072.0,20000.0,20000.0,59102.4,1
88.0,0.5999999999999996,3000,0.0,0.0,0.0,0.0,0.0,2
89.0,0.40000000000000036,50000,0.0,0.0,0.0,0.0,0.0,2
90.0,0.5999999999999996,5000,0.0,0.0,0.0,0.0,0.0,1
91.0,0.40000000000000036,0,4.4,5392.0,10000.0,10000.0,23724.800000000003,1
92.0,0.7000000000000002,0,4.7,565.0,10000.0,10000.0,2655.5,1
93.0,0.5,60000,4.5,36337.0,20000.0,25000.0,163516.5,3
94.0,0.5,7000,4.5,718.0,10000.0,10000.0,3231.0,1
95.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1
96.0,0.5999999999999996,0,0.0,0.0,0.0,0.0,0.0,1
97.0,0.5,15000,4.5,11302.0,15000.0,15000.0,50859.0,2
98.0,0.2999999999999998,15000,0.0,0.0,0.0,0.0,0.0,1
99.0,0.40000000000000036,0,0.0,0.0,0.0,0.0,0.0,2
100.0,0.5,0,0.0,0.0,0.0,0.0,0.0,2
101.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2
102.0,0.5,40000,0.0,0.0,0.0,0.0,0.0,2
103.0,0.7000000000000002,0,0.0,0.0,0.0,0.0,0.0,1
104.0,0.40000000000000036,20000,4.4,51431.0,10000.0,10000.0,226296.40000000002,2
105.0,0.40000000000000036,0,4.4,213.0,10000.0,10000.0,937.2,2
106.0,0.7999999999999998,0,0.0,0.0,0.0,0.0,0.0,1
107.0,0.5999999999999996,5000,0.0,0.0,0.0,0.0,0.0,2
108.0,0.40000000000000036,0,4.4,8564.0,2000.0,2000.0,37681.600000000006,1
109.0,0.5,3000,0.0,0.0,0.0,0.0,0.0,1
110.0,0.5999999999999996,3000,0.0,0.0,0.0,0.0,0.0,1
111.0,0.5,3000,0.0,0.0,0.0,0.0,0.0,1
112.0,0.5,25000,0.0,0.0,0.0,0.0,0.0,1
113.0,0.5999999999999996,0,0.0,0.0,0.0,0.0,0.0,2
114.0,0.2999999999999998,30000,4.3,16110.0,30000.0,30000.0,69273.0,1
115.0,0.2999999999999998,15000,0.0,0.0,0.0,0.0,0.0,2
